Core,Workstream,Audiences ,Learning categories / Playbook Chapter Title,Asset Name,Description ,Asset type (drop-down),Asset Format,Staging Location,Future / Permenant Storage Location.,Dissemination Method (define if linked or described in playbook)
Admin Core,Publications Program,NIH (Funder) Audience,Program Evaluation ,How to Develop a Qualitative Evaluation Plan for a Complex National Intervention: Key Steps and Reflections from the RADx-UP Program,"This article describes the formative process of developing and implementing a Qualitative Evaluation Plan (QEP) for NIH RADx-UP. This article describes the comprehensive, mixed-methods strategic evaluation plan to understand RADx-UP academic and community partners’ experiences implementing community-based participatory research methods, and how projects addressed COVID-19 outreach, testing, and response efforts in-depth. ",4) Recommendation or guidance,PDF Document,,https://nsuworks.nova.edu/tqr/vol29/iss3/5/,Playbook (linked) 
Admin Core,Publications Program,NIH (Funder) Audience,Program Evaluation ,Qualitative Evaluation of RADx-UP Projects Addressing COVID-19 Testing Disparities Among Underserved Populations,"The purpose of this article is to show qualitative evidence of how projects built trust and lasting relationships with underserved populations. By prioritizing community voices during a public health emergency, RADx-UP projects improved health equity and pandemic preparedness in these communities.",4) Recommendation or guidance,PDF Document ,N/A,https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2024.307632,
Admin Core ,Publications Program ,NIH (Funder) Audience ,Capacity Building and Community Engagement,RADx-UP Publications Policy,"This policy applies to all individuals involved with writing or reviewing abstracts, presentations, and manuscripts
derived from RADx-UP data aggregated within the CDCC that are supported by RADx-UP funds or represent RADx-
UP (i.e., consortial publication products).",4) Recommendation or guidance,PDF Document,https://duke.box.com/s/ykmp2aovfimm166jaf2bxz6bkmc81v7s,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement ,Partnering for Impact Workshop: Discussion on Community-Engaged Research and Publications,Panel discussion ,2) Training,Video,https://duke.box.com/s/tt7q8aw7pr8m43awewvbljyxsn1jgs7q,https://youtu.be/kduM8MJ7Z28,Playbook (linked)
Testing Core,Rapid Research Pilot (RP2) Program,NIH (Funder) Audience,Testing,Rapid Research Pilot Program Final Report,A document outlining the successes and challenges of the Rapid Research Pilot Program. This final report was created through the collaboration of the Tracking and Evaluation Team and CDCC Ops team.,5) Reference/tool,PDF Document,https://duke.box.com/s/wze6n88pqzlhnr7cimxqlqtovpzz8k2s,NIH RADx Data Hub,
Testing Core,Rapid Research Pilot (RP2) Program,NIH (Funder) Audience ,Program Evaluation ,RP2 Annual Presentation April 2023,"Presentation to NIH annual to report on RP2 cycle updates, project progress, lessons learned and overall program findings to date.",6) Other,PPT Slides,https://duke.box.com/s/dn0uh9gmc7byp6bp5hzdoceiu92c1ij6,NIH RADx Data Hub,
Testing Core,Rapid Research Pilot (RP2) Program,NIH (Funder) Audience ,Program Evaluation ,RP2 Annual Presentation April 2023,"Presentation to NIH annual to report on RP2 cycle updates, project progress, lessons learned and overall program findings to date.",6) Other,PPT Slides,https://duke.box.com/s/kbhsxm4wshpwitw0smqj2i1d5yehrz56,NIH RADx Data Hub,
Testing Core,Repository/Publications,Community Audience,Testing ,ASU Testing Repository,"A one-stop, reliable source for comprehensive information about COVID-19 tests worldwide. Search all tests in the market and in the pipeline by multiple parameters including test type, technology, regulatory status, country of origin and more. The Testing Commons is updated regularly. Collaboration with Mara Aspinall from ASU; RADx-TECH; FDA. This was an important partnership. This was a tool that was used for Testing Core that was customizable and at the forefront of finding collated information. ",5) Reference/tool,Website,N/A,https://chs.asu.edu/diagnostics-commons/testing-commons,Playbook (linked)
Community Engagement Core,Working Groups ,Community Audience,Testing ,Prueba casera de antígeno COVID-19: cómo leer sus resultados,"A video of ""how to test""; specifics in title. Note that these were accurate when they were made, tests may change over time. ",5) Reference/tool,Video,https://duke.box.com/s/w99x5rwcm03tzj85gk5w5ar5aj6qpy0b,https://youtu.be/QKDs8TZAqxA,Playbook (linked)
Community Engagement Core,Working Groups ,Community Audience,Testing ,Prueba casera de antígeno COVID-19: cómo realizar la prueba,"A video of ""how to test""; specifics in title. Note that these were accurate when they were made, tests may change over time. ",5) Reference/tool,Video,https://duke.box.com/s/a3u51xnfx8okgscs77ivb3kx07ccuq1o,https://youtu.be/qH_1LPJ1gXs?si=Jy6mlpXAwdbA4DfO,Playbook (linked)
Admin Core ,Strategy ,NIH (Funder) Audience ,Sustainability ,Strategic Roadmap: Advancing Health Equity through Community-engaged Research,"The product of the RADx-UP roadmap work, including strategic directions and themes. This document has been shared with NIH.  It could be sent as one of our final work products, as it is the recommendations from across the RADx-UP consortium.",4) Recommendation or guidance,PDF Document,https://duke.box.com/s/lqy35b26jlwjikd8vzu8ml13oks12khm,NIH RADx Data Hub,Playbook (appendix)
Admin Core ,Strategy ,NIH (Funder) Audience ,Sustainability ,Strategic Roadmap Process,Presentation explaining the process by which the strategic vision and roadmap was developed. This should be maintained/shared to demonstrate the rigor and inclusion that was built into the strategic roadmap creation process.,1) Process (infrastructure),PPT Slides,https://duke.box.com/s/4w2rtczjtzvuw75pq85yxchoxmasemgc,NIH RADx Data Hub,Playbook (appendix)
Admin Core ,Strategy ,NIH (Funder) Audience ,Sustainability ,Vision Summaries ,The vision statements developed throughout the strategic roadmap process.  These visions gave rise to the strategic themes and directions. This is an important background document to be shared/stored with the Strategic Roadmap for future reference and use by the NIH.,4) Recommendation or guidance,Word Document,https://duke.box.com/s/1dufj2yxa5mcxhvxn8i6k60q591o59rx,NIH RADx Data Hub,
Testing Core,Testing Protocols,Academic Audience ,Testing,RADx-UP Testing Requirement Guide,"In this guide, the RADx-UP CDCC Testing Core has assembled useful information for current and prospective RADx-UP projects. To keep pace with the evolving nature of the pandemic, the test methods, and the FDA regulatory landscape.",4) Recommendation or guidance,PDF document,https://duke.box.com/s/ouneh8saoxixdkdcaxjuy8685erzpelw,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Scientific Meeting,Academic & Community Audience,Communications and Dissemination ,Scientific Meeting presentation Video: Community-Engaged Strategies to Understanding COVID-19 Disparities Impacting Sexual and Gender Minority and Racial/Ethnic Minority Youth and Young Adults,"This 13 minute video highlights a presentation by Gregory Phillips II and Megan M. Ruprecht from Northwestern University from on May 3, 2022 presented at the RADx-UP Scientific Meeting. ",5) Reference/tool,Video,https://duke.box.com/s/ioc505082qy2xi75y7grn72ywiwqegyo,https://youtu.be/piTyV2oOOAE,Playbook (linked)
Community Engagement Core,Working Groups ,Academic & NIH (Funder Audience),Communications and Dissemination ,"(Key takeaways) Navigating a Pandemic in the K–12 Setting, Part 1: Keeping Our School Communities Safe ",Friendly formatted version of the key takeaways from this body of research. ,4) Recommendation or guidance,PDF Document,https://duke.box.com/s/vypbnk1ruz75l3zzo3s23uofua79dy0h ,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Working Groups ,Academic & NIH (Funder Audience),Communications and Dissemination ,"(Key takeaways) Navigating a Pandemic in the K–12 Setting, Part 2: COVID-19 Testing and Vaccination",Friendly formatted version of the key takeaways from this body of research. ,4) Recommendation or guidance,PDF Document,https://duke.box.com/s/3does1w6f77et8xin30fil1tdbopgmrd  ,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Working Groups ,Academic & Community Audience,Communications and Dissemination ,Strategies for COVID-19 Outreach in Harlem (video) ,"Malcolm Punter, EdD is the President and Chief Executive Officer of Harlem Congregations for Community Improvement Inc. (HCCI). HCCI was established to combat health disparities such as HIV, diabetes, and immunization, while also improving the holistic wellness of the Harlem community. His presentation emphasizes the importance of understanding the historical significance of barriers to healthcare that are characteristic to the communities you serve. By highlighting his work within the Harlem community, Punter provides strategies on building trust to combat the legacy of cultural disconnection.

The approach to the COVID-19 outreach in Harlem sought to build trust by building a coalition of NYU researchers, HCCI as the partnering nonprofit, local advocates, stakeholders, and faith-based institutions to serve as the voice of the community’s low-income residents who resided in New York City Housing authority (NYCHA) public housing. Through existing community partnerships, effective messaging was realized in a series of tailored virtual town halls that strategically incorporated key trusted individuals in the communities they serve.",4) Recommendation or guidance,Video,https://duke.box.com/s/okqybp6w4z6m5hpe10jhuspqahxwvi8k,https://youtu.be/0sbZtyKQrZ4,Playbook (linked)
Community Engagement Core,Working Groups ,Academic Audience,Best Practices for Conducting Community Engaged Research,(Manuscript) Promoting Inclusion in COVID-19 Research for Diverse Hispanic/Latino(x) Populations: Recommendations from the RADx-UP Hispanic/Latino/Latinx Working Group,Manuscript authored by members of the HLL working group summarizing recommendations for involving HLL populations in COVID-19 research.,4) Recommendation or guidance,PDF Document,https://pmc.ncbi.nlm.nih.gov/articles/PMC11883567/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11883567/,Playbook (linked)
Community Engagement Core,Working Groups ,Academic Audience,Best Practices for Conducting Community Engaged Research,"(One-pager) Promoting Inclusion in COVID-19 Research for Diverse Hispanic/Latino(x) Populations:
Recommendations from the RADx-UP Hispanic/Latino/Latinx Working Group",One-pager summarizing the recommendations also referenced in their academic paper.,4) Recommendation or guidance,PDF Document,https://duke.box.com/s/ek3dwmud3p0eukiy9jjveudl60tiocih,NIH RADx Data Hub,
Community Engagement Core,Working Groups ,Community Audience,Community of Practice ,Advocating for Racial Equity in the US Healthcare System ,"RADx-UP Engaging Black/African Americans Working Group and the Community-Campus Partnerships for Health (CCPH) published Advocating for Racial Equity in the US Healthcare System, a comprehensive guide to increase understanding, strengthen patient-provider relationships, and support shared decision-making. The CDCC distributed 705 physical copies to 28 organizations around the country. ",5) Reference/tool,PDF Document,N/A,https://ccphealth.org/racial-equity-in-the-us-healthcare-system/,Playbook (linked)
Community Engagement Core,Working Groups ,Academic Audience,Communications and Dissemination ,"Navigating a Pandemic in the K–12 Setting, Part 1: Keeping Our School Communities Safe ","The ABC Science Collaborative and RADx-UP published a special supplement to the research journal Pediatrics focused on lessons learned while navigating the K-12 school environment during the pandemic. The publication supplement, “Navigating a Pandemic in the K-12 Setting, Part 1: COVID-19 Testing and Vaccination,” represented a collaborative effort between Pediatrics, The ABC Science Collaborative and the RADx-UP Coordination and Data Collection Center. ",4) Recommendation or guidance,PDF Document,N/A,https://publications.aap.org/pediatrics/issue/149/Supplement_2,Playbook (linked)
Community Engagement Core,Working Groups ,Academic Audience,Communications and Dissemination ,"Navigating a Pandemic in the K–12 Setting, Part 2: COVID-19 Testing and Vaccination","The ABC Science Collaborative and RADx-UP published a special supplement to the research journal Pediatrics focused on lessons learned while navigating the K-12 school environment during the pandemic. The publication supplement, “Navigating a Pandemic in the K-12 Setting, Part 2: COVID-19 Testing and Vaccination,” represented a collaborative effort between Pediatrics, The ABC Science Collaborative and the RADx-UP Coordination and Data Collection Center. ",4) Recommendation or guidance,PDF Document,N/A,https://publications.aap.org/pediatrics/issue/152/Supplement%201?autologincheck=redirected,Playbook (linked)
Community Engagement Core,Equity Evidence Academy,Academic & Community Audience,Community of Practice,"Third Equity Evidence Academy In Context Interview with Aron Wahkinney, MS and Spero M. Manson, PhD (Pembina Chippewa) and Odile Madesclaire, MPH and Katie Nelson",Interview with RADx-UP project team about the importance of data and data visualization for effective community engagement,5) Reference/tool,Video,(this was the wrong link),https://youtu.be/G2waS4A9hTk,
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,UTSPH COVID Commercial in English ,Watch this commercial to notify parents that COVID-19 vaccines are available for children 6-months and older aired on local television. The commercial was produced in English and Spanish.,7) Web content,Video,https://duke.box.com/s/gdou3rlau15aw6wk17tuex9ba55pxon3,https://youtu.be/NabIDN9L9jU,
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,UTSPH COVID Commercial in Spanish,Watch this commercial to notify parents that COVID-19 vaccines are available for children 6-months and older aired on local television. The commercial was produced in English and Spanish.,7) Web content,Video,https://duke.box.com/s/qfetkmgbqoyndaubehhxek64dndo8q0b,https://youtu.be/9TeD5PlbIeI,
Services,Communications,Academic Audience,Communications and Dissemination ,Video to share: RP2 Grants,"RADx-UP Grants for Research, Testing, and Community Engagement with Dr. Priya Sarin Gupta AD",3) Template,Video,https://duke.box.com/s/qi0hcwqh6oevt3qmt484100ab54twpza,https://youtu.be/OZiAaMBHerg,
Community Engagement Core,Working Groups ,Community Audience,Sustainability ,(Article) Community Leaders’ Post-Pandemic Reflections: Adapting to Serve,The Engaging Black/African Americans Working Group conducted interviews and published an article capturing insights from community leaders about their post-pandemic adaptations to continue their work amidst the challenges posed by COVID-19. These interviews engaged executive and mid-level leaders from various organizations to explore their experiences and strategies for navigating the complexities of the pandemic.,4) Recommendation or guidance,Website with videos,"https://duke.box.com/s/kh8g7dh05n4t4eqgnz6wyt5oa4q2vnye
",NIH RADx Data Hub,
Community Engagement Core,Working Groups ,NIH (Funder) Audience ,Best Practices for Conducting Community Engaged Research,Post Community Health Worker Symposium Key Takeaways  ,"The Community Health Worker Symposium consisted of two concurrent paneled discussions. These slides summarize the benefits, challenges, and recommendations to address the challenges that community health workers experience. ",4) Recommendation or guidance,PPT Slides,https://duke.box.com/s/qpdwnnw7l7wmstmpyuhypba4obng7ld7,NIH RADx Data Hub,Playbook (referenced) 
Community Engagement Core,Working Groups ,Academic Audience,Community of Practice,RADx-UP Establishing a New Working Group,The purpose of this process document is to outline the required steps to establish a new Working Group as part of the RADx-UP program. ,1) Process (infrastructure),Word Document,https://duke.box.com/s/1nfs2vpg8an2p98m9ggzg5gyn01eoikt,NIH RADx Data Hub,Playbook (appendix)
Community Engagement Core,Working Groups ,Academic Audience,Community of Practice,RADx-UP Working Group Governance - Roles and Responsibilities ,The purpose of this process document is to outline the roles and responsibilities of Working Group members responsible for governance. ,1) Process (infrastructure),Word Document,https://duke.box.com/s/bmq9o0vk2bs1s3h6rjzyox59bg5akhq8,NIH RADx Data Hub,Playbook (appendix)
Services,Communications,Community Audience,Sustainability ,Video year in review,Year in review video wrap up,5) Reference/tool,Video,https://duke.box.com/s/6zy7iwxots5hfvvz27x1ey0i9lnc7rqc,https://youtu.be/qxoUYz2LyR4,
Services,Communications,NIH (Funder) Audience ,Communications and Dissemination ,Video: About RADx-UP,Introducing RADx Underserved Populations,3) Template,Video,https://duke.box.com/s/qj59pwspct27sflz6pd8jfmnet4fzvmy,https://youtu.be/0z1B_LLrHaY,
Services,Communications,Community Audience,Communications and Dissemination ,Video: About RP2 project,Project Spotlight: Connecting People Experiencing Homelessness and Housing Instability to Rapid COVID-19 Testing,5) Reference/tool,Video,https://duke.box.com/s/bzeoktrvysrrmpjub4x3ketelhtc5wv7,https://youtu.be/vux5U5f6qbE,Playbook (linked)
Services,Communications,NIH (Funder) Audience ,Communications and Dissemination ,Video: Project profile,CO-CREATE Increasing COVID-19 Testing for Pregnant Women and Children Project Spotlight,1) Process (infrastructure),Video,https://duke.box.com/s/5g570rcf1zfi3e08gkrd5oha8nq2ycid,https://youtu.be/zhCI0ozaHDo,
Services,Communications,Community Audience,Sustainability ,Video: Project spotlight,Project Spotlight: A Faithful Response to COVID-19,5) Reference/tool,Video,https://duke.box.com/s/63hn0dow343lkagcpwmwbjknw6fs7g8f,https://youtu.be/x-MNr5T7hHM,Playbook (linked)
Community Engagement Core,Working Groups ,NIH (Funder) Audience ,Best Practices for Conducting Community Engaged Research,Engaging Hispanic/Latino/Latinx Populations (HLL)/Hispanic Services Council presentation to NIH,"In October of 2021, the HLL WG, in collaboration with Hispanic Services Council presented to NIH on lessons learned (successes and challenges), best practices, and community feedback from doing RADx-UP work (common data elements) with Hispanic/Latino/latinx communities. ",5) Reference/tool,PPT Slides,https://duke.box.com/s/h1oejg198442qmqziqybzcmt37l8ngx1,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic & Community Audience,Community of Practice ,Equitable Compensation for Community Engagement Guidebook ,This Urban Institute toolkit includes practical guidance and approaches for creating an equitable compensation plan for your organizations’ community-partnered research projects. ,4) Recommendation or guidance,PDF Document ,https://duke.box.com/s/ssn24dah35wvug6b7oi374tnaixj5tqg,https://www.urban.org/sites/default/files/2023-08/Equitable%20Compensation%20for%20Community%20Engagement%20Guidebook.pdf,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement,Partnering for Impact Workshop Series #2: The Data Dashboard & Data Linkage Dashboard ,Learn from our data experts how to navigate the data dashboard and generate ideas for an analysis concept using RADx-UP aggregated data.,2) Training,PDF Document,https://duke.box.com/s/raj52nhr7uzqsx10ehw8yhstkiygdz8l,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement,Partnering for Impact Workshop Series #1: The Analysis Concept and Proposal Process,Gain insight into how to submit the concept and analysis proposal as part of the Partnering for Impact Consortial Publications Process.,2) Training,PDF Document,https://duke.box.com/s/c9znkzstgth8vibeiunlhiahxxwkn8j6,NIH RADx Data Hub,Playbook (linked) 
Data Core,CDE Data,Academic Audience,Data Collection and Storage,RADx-UP Data Tiers ,"This guide explains the data categories, CDE tiers, and how they are used by the CDCC, as well as what information is shared with the NIH RADx Data Hub.",5) Reference/tool,PDF Document,https://duke.box.com/s/srtmk9ac999koehie9uyunjv7f7jl1o0,NIH RADx Data Hub,Playbook (appendix) 
Services,Communications,Community Audience,Testing,COVID-19 Testing Still Matters (English) ,PSA on testing: Testing Still Matters,5) Reference/tool,Video,https://duke.box.com/s/hxd5or0poqck3x3c8v9neqnc1e229y1q,https://youtu.be/RljzGqMn5zw,Playbook (linked)
Services,Communications,Academic Audience,Testing,Video: RP2 Grants,"RADx-UP Grants for Research, Testing, and Community Engagement with Dr. Priya Sarin Gupta",3) Template,Video,https://duke.box.com/s/ov68mrquagucywu8fbtsgf9n8xiw0o27,https://youtu.be/RE1uGUEswXI,Playbook (linked)
Services,Communications,Academic Audience ,Communications and Dissemination ,Video: Welcome to the RADx-UP Project (Spanish),"Researchers Micky Cohen-Wolkowiez and Rosa María González-Guarda describe the RADx-UP project and explain why the voices and experiences of the Latino, Hispanic and Latinx community are important for the design of diagnostic tests, treatments and vaccines against COVID -19. This resource is in Spanish, but there is also a version in English.",7) Web content,Video,https://duke.box.com/s/orza6hrvaa2bn1wqdbrobqm601la8c3o,https://youtu.be/HDix2UWxONw,
Community Engagement Core,Working Groups ,Community Audience,Capacity Building and Community Engagement,What is a Community Health Worker? (video) ,"RADx-UP Working Groups hosted a CHW Symposium welcoming over 70 CHWs for a dual language virtual event, that included in-depth audio interviews with CHWs from across the country to understand the perspectives and challenges of the job. These audio interviews added more context to the evidence that CHWs are powerful and critical to health equity. ",4) Recommendation or guidance,Video,https://duke.box.com/s/54p4l7zprfgdw8pqlb6g6kp0sdvlsa2y,https://youtu.be/w3bPmx9DFQA,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement ,Partnering for Impact Workshop Series: #9 Writing the Results,Generalizable series about how to write a journal article,2) Training,PDF Document,https://duke.box.com/s/bjerer2jxmzx9vkscv0b8w1s1e7ess49,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement ,Partnering for Impact Workshop Series: #10 Writing the Results,Generalizable series about how to write a journal article,2) Training,PDF Document,https://duke.box.com/s/zo0cu3dbwhd41masyi1wqzjkztq1pkr9,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement ,Partnering for Impact Workshop Series: #11 Dealing with Reviews,Generalizable series about how to write a journal article,2) Training,PDF Document,https://duke.box.com/s/8lpb772nglyuyjg6k8uzmhgx3yzuflfc,NIH RADx Data Hub,Playbook (linked)
Services,Communications,Community Audience,Testing,"Examining COVID-19 testing and vaccination behaviors by heritage and linguistic preferences among Hispanic, Latino, or Spanish RADx-UP participants (Video)","This is a video lay summary of the paper ""Examining COVID-19 testing and vaccination behaviors by heritage and linguistic preferences among Hispanic, Latino, or Spanish RADx-UP participants,"" published in Preventive Medicine Reports in July 2023. In this study, researchers wanted to understand if national heritage and language affected whether Hispanic community members participated in COVID-19 testing and got vaccinated.",4) Recommendation or guidance,Video,https://duke.box.com/s/20jgmwvcpdj0q6kocnvw7rfqzwavimla,https://youtu.be/n54BC-StzeY?si=ho0gnxz6X654iAgc,Playbook (linked) 
Services,Communications,Community Audience,Communications and Dissemination ,Community Testing and SARS-CoV-2 Rates for Latinxs in Baltimore (Video),Video (English): Lay friendly video to accompany research brief for RADx-UP published research.,6) Other,Video,https://duke.box.com/s/zpj644ky940fy8n4lij5dmxo4go5ci5n,https://youtu.be/duKm6YmYc_w?si=k9_agXHMMswjnnu3,Playbook (linked) 
Services,Communications,Community Audience,Communications and Dissemination ,Video: Project Spotlight (COV-IDD),A spotlight on the RADx-UP project COV-IDD: Testing for COVID-19 in High-Risk Children with Intellectual and Developmental Disabilities,5) Reference/tool,Video,https://duke.box.com/s/k2y3f8d9a5krje474kcmzh1856hgl6pf,https://youtu.be/06YTUk9S9sY?si=ZHBDY4xciagszPgA,Playbook (linked) 
Services,Communications,Community Audience,Communications and Dissemination ,Video: Project Spotlight (COVID-19 racial/ethnic disparities in Northwest Arkansas) ,A spotlight on the RADx-UP project COVID-19 racial/ethnic disparities in Northwest Arkansas (NWA),5) Reference/tool,Video,https://duke.box.com/s/j5djluhrasiwjwpiwq5yvvedi54z93jc,https://youtu.be/UTNwA4XEagk?si=KW1yahp841_te-cA,Playbook (linked) 
Services,Communications,Community Audience,Communications and Dissemination ,Video: Project Spotlight,"A spotlight on the RADx-UP project, ""Using COVID-19 Testing and Risk Communication Strategies to Accelerate Students' Return to School,"" which is based at the University of Washington St. Louis",5) Reference/tool,Video,https://duke.box.com/s/61wp23vk3eo9xko9hxvnk6iuw5nwlzre,https://youtu.be/ofxfgdjIepk?si=976zTMi82ztW4le4,Playbook (linked) 
Admin Core,Rapid Research Pilot (RP2) Program,Academic Audience,Program Evaluation ,RP2 2025 Summative Evaluation Report,This is the RADx-UP Rapid Research Pilot Program’s (RP2) summative report that details key evaluation findings from RADx-UP RP2. ,5) Reference/tool,PDF Document,https://duke.box.com/s/jjts4ttq7k0gxqz39wefs1po4pi31kul,NIH RADx Data Hub,
Services,Communications,Community Audience,Communications and Dissemination ,Spotlight on the RADx-UP American Indian Working Group with Spero Manson ,"The Tribal Nations projects formed a working group to establish rules on data sharing and use for the consortium. Spero Manson, Distinguished Professor and Director of the Centers for American Indian and Alaskan Native Health at the University of Colorado Anschulz Medical Center and RADx-UP American Indian working group member, discussed the context of the COVID-19 pandemic for native communities and how the RADx-UP working group tackled some of the historic challenges of working with the government on research projects. ",5) Reference/tool,Video,https://duke.box.com/s/hbwsbk0ua5g03k2mtyktj2dlaw9igrup,https://youtu.be/AqNUZihHeMs?si=DN4lk2wYt6TEU7pj,Playbook (linked)
Services,Communications,Community Audience,Communications and Dissemination ,COVID-19 Testing Still Matters (Spanish) - Las Pruebas De COVID-19 Siguen Siendo Importantes ,PSA on testing: Testing Still Matters,5) Reference/tool,Video,,https://youtu.be/tdpDcSKQZbU?si=muIMxGgO1iAc86Fa,Playbook (linked)
Services,Communications,Community Audience,Communications and Dissemination ,Video: Project Spotlight ,Mobile Testing and Vaccination in the Mississippi Delta  ,5) Reference/tool,Video,,https://youtu.be/1FSjLBPLOTM?si=PmcfzHVEWE_jbEX7,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic & Community Audience,Capacity Building and Community Engagement,Partnering for Impact video overview,"The RADx-UP Partnering for Impact overview video showcases how collaborative efforts and the consortial publication process drive innovative solutions and community engagement to improve COVID-19 testing and health outcomes.
The RADx-UP Partnering for Impact overview video showcases how collaborative efforts and the consortial publication process drive innovative solutions and community engagement to improve COVID-19 testing and health outcomes.
",5) Reference/tool,Video,https://duke.box.com/s/zgff8s3mh6l91m723a1ut69jravbw7w1,https://youtu.be/PlViUdQ-tAg?si=yO1gJGiMEAuCqW2o,Playbook (linked)
Community Engagement Core,Engagement Resource Center,Academic & Community Audience,Policy and Practice ,ABC Science Collaborative: What Science Says About Preventing COVID-19 in North Carolina’s K-12 Schools ,"A new report issued June 30, 2021 by the ABC Science Collaborative, a program supported by RADx-UP, shows that North Carolina schools were highly successful in preventing the transmission of COVID-19 within school buildings and offers science-based learnings for the nation’s schools to limit COVID-19 spread. The report is accompanied by “COVID-19 and Schools: The Year in Review and a Path Forward” that reviews the latest science coming out of North Carolina and around the world. The report provides a set of key takeaways to help school leaders and policymakers plan a path forward for safely resuming in-person instruction during the 2021-2022 school year.",4) Recommendation or guidance,PDF Document,https://duke.box.com/s/6e8oxr1mx1d1gm20vp6lyvk2ypn1d5uj,NIH RADx Data Hub,Playbook (appendix) 
Community Engagement Core,Engagement Resource Center,Academic Audience,Best Practices for Conducting Community Engaged Research,CTSA Principles of Community Engagement (English),"Principles of Community Engagement (Second Edition) provides public health professionals, health care providers, researchers, and community-based leaders and organizations with both a science base and practical guidance for engaging partners in projects that may affect them. The principles of engagement can be used by people in a range of roles, from the program funder who needs to know how to support community engagement to the researcher or community leader who needs hands-on, practical information on how to mobilize the members of a community to partner in research initiatives. In addition, this primer provides tools for those who are leading efforts to improve population health through community engagement. Report on best practices in community engagement from the CDC and co-authors. This is a trusted external resource selected for the Engagement Resource Center not created with RADx-UP funds.",5) Reference/tool,PDF Document,N/A,https://ictr.johnshopkins.edu/wp-content/uploads/2015/10/CTSAPrinciplesofCommunityEngagement.pdf ,Playbook (linked)
Admin Core,Abacus Tracking & Evaluation,Academic Audience,Program Evaluation ,RADx-UP 2024 Tracking and Evaluation Global Report,"This report describes the participatory and utilization-focused approaches and mixed methods used to evaluate RADx-UP with attention to assessing community-engagement, implementation, outcomes, and impacts.",5) Reference/tool,PDF Document,https://duke.box.com/s/1fpoqrcm3nubni6m750py4urz09mwuva,NIH RADx Data Hub,Playbook (appendix)
Community Engagement Core,Working Groups ,Community Audience,Sustainability ,Post-Pandemic Reflections: Adapting to Serve featuring Sherry Locke,The Engaging Black/African Americans Working Group conducted interviews and published an article capturing insights from community leaders about their post-pandemic adaptations to continue their work amidst the challenges posed by COVID-19. These interviews engaged executive and mid-level leaders from various organizations to explore their experiences and strategies for navigating the complexities of the pandemic.,4) Recommendation or guidance,Video,N/A,https://youtu.be/FOMDNBsGmDA?si=h1F3TevW7Cge0RYd,
Community Engagement Core,Working Groups ,Community Audience,Sustainability ,Post-Pandemic Reflections: Adapting to Serve featuring Lisa Diane White,The Engaging Black/African Americans Working Group conducted interviews and published an article capturing insights from community leaders about their post-pandemic adaptations to continue their work amidst the challenges posed by COVID-19. These interviews engaged executive and mid-level leaders from various organizations to explore their experiences and strategies for navigating the complexities of the pandemic.,4) Recommendation or guidance,Video,N/A,https://youtu.be/jGcawnEkWOU?si=tscNKlnKrNt5qL62,
Community Engagement Core,Working Groups ,Community Audience,Sustainability ,Post-Pandemic Reflections: Adapting to Serve featuring Karen Zandi ,The Engaging Black/African Americans Working Group conducted interviews and published an article capturing insights from community leaders about their post-pandemic adaptations to continue their work amidst the challenges posed by COVID-19. These interviews engaged executive and mid-level leaders from various organizations to explore their experiences and strategies for navigating the complexities of the pandemic.,4) Recommendation or guidance,Video,N/A,https://youtu.be/p3eLo9ujEYI?si=9d4GWX9SUqU7G3o9,
Community Engagement Core,Working Groups ,Community Audience,Sustainability ,Post-Pandemic Reflections: Adapting to Serve featuring Fabiola Rodriguez ,The Engaging Black/African Americans Working Group conducted interviews and published an article capturing insights from community leaders about their post-pandemic adaptations to continue their work amidst the challenges posed by COVID-19. These interviews engaged executive and mid-level leaders from various organizations to explore their experiences and strategies for navigating the complexities of the pandemic.,4) Recommendation or guidance,Video,N/A,https://youtu.be/lqUIuMzEMDE?si=wwCdJoWXd_eW3NdT,
